이름,연도,포지션,WAR,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,WRC+
김동헌,24, C,-0.13,0.01,-0.14,2,7,7,5,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0.200,0.429,0.200,0.629,-0.003,95.6
김수환,23, 1B,-0.13,0.12,-0.26,50,114,113,97,8,21,4,0,2,31,15,0,0,11,4,0,36,1,1,1,0.216,0.319,0.320,0.639,-0.038,72.1
김웅빈,24, DH,-0.13,-0.12,-0.01,6,18,17,13,1,1,0,0,0,1,1,0,0,3,1,0,6,0,1,0,0.077,0.294,0.077,0.371,-0.102,24.8
문찬종,21, SS,-0.14,-0.08,-0.05,13,17,17,14,0,2,0,0,0,2,1,0,0,3,0,0,4,1,0,0,0.143,0.294,0.143,0.437,-0.096,25.2
이택근,20, CF,-0.15,-0.13,-0.02,20,64,64,57,5,11,5,0,0,16,7,0,0,7,0,0,21,1,0,0,0.193,0.281,0.281,0.562,-0.079,42.6
박주홍,21, LF,-0.15,-0.40,0.25,23,56,56,47,4,5,2,0,0,7,3,1,1,9,0,0,21,1,0,0,0.106,0.250,0.149,0.399,-0.122,4.5
김은성,19, 2B,-0.16,-0.04,-0.13,5,10,10,8,1,1,0,0,0,1,0,0,0,2,0,0,2,1,0,0,0.125,0.300,0.125,0.425,-0.086,30.6
이주형,22, DH,-0.17,-0.03,-0.14,32,85,85,71,7,12,0,0,1,15,8,0,0,10,3,0,27,0,0,1,0.169,0.294,0.211,0.505,-0.048,61.6
박정음,20, LF,-0.18,-0.08,-0.11,86,47,47,43,20,8,0,1,0,10,2,9,1,2,2,0,14,0,0,0,0.186,0.255,0.233,0.488,-0.096,29.6
김웅빈,19, 3B,-0.19,0.01,-0.19,4,11,11,11,1,3,1,0,0,4,3,0,0,0,0,0,2,2,0,0,0.273,0.273,0.364,0.637,-0.066,47.4
송우현,20, RF,-0.19,-0.20,0.01,14,15,15,12,3,0,0,0,0,0,0,0,0,2,1,0,4,0,0,0,0.000,0.200,0.000,0.200,-0.185,-38.0
박준태,23, RF,-0.20,-0.06,-0.13,14,15,15,14,0,2,0,0,0,2,1,0,0,1,0,0,7,0,0,0,0.143,0.200,0.143,0.343,-0.097,21.7
크레익,21, LF,-0.21,0.61,-0.82,61,247,246,222,25,55,12,0,6,85,30,0,1,20,4,1,43,4,0,1,0.248,0.320,0.383,0.703,-0.022,85.6
이형종,23, RF,-0.21,0.91,-1.12,99,374,370,316,35,68,22,1,3,101,37,0,0,39,14,2,78,11,3,2,0.215,0.326,0.320,0.646,-0.022,85.5
주효상,20, C,-0.21,-0.39,0.18,63,101,98,84,6,16,4,0,0,20,7,0,0,13,0,0,26,0,3,1,0.190,0.296,0.238,0.534,-0.085,39.6
박준태,22, RF,-0.23,-0.16,-0.07,52,84,83,70,9,11,4,0,1,18,10,0,0,11,2,0,33,0,1,0,0.157,0.289,0.257,0.546,-0.063,49.7
박주홍,20, LF,-0.24,-0.14,-0.09,13,25,25,24,0,6,2,0,0,8,1,0,1,1,0,0,10,0,0,0,0.250,0.280,0.333,0.613,-0.077,43.7
김건희,23, 1B,-0.24,-0.04,-0.20,9,13,13,11,0,2,0,0,0,2,0,0,0,2,0,0,4,1,0,0,0.182,0.308,0.182,0.490,-0.083,33.3
김시앙,22, C,-0.24,-0.17,-0.07,13,14,13,12,1,1,0,0,0,1,0,0,0,1,0,0,8,1,1,0,0.083,0.154,0.083,0.237,-0.182,-42.3
김재현,21, C,-0.25,-0.13,-0.12,39,51,49,46,2,10,7,0,0,17,8,0,1,3,0,0,12,1,2,0,0.217,0.265,0.370,0.635,-0.063,53.7
김병휘,23, 2B,-0.26,-0.26,0.00,10,21,21,21,0,3,1,0,0,4,1,0,0,0,0,0,8,0,0,0,0.143,0.143,0.190,0.333,-0.168,-38.9
신준우,21, 2B,-0.27,-0.28,0.00,56,51,50,42,7,7,3,0,0,10,4,0,1,4,3,0,21,1,1,1,0.167,0.280,0.238,0.518,-0.089,32.1
임지열,19, 3B,-0.34,-0.11,-0.23,11,18,17,15,0,2,1,0,0,3,3,0,0,1,1,0,7,1,1,0,0.133,0.235,0.200,0.435,-0.124,4.3
김시앙,23, C,-0.37,-0.35,-0.02,33,82,82,76,6,17,1,0,0,18,7,0,0,3,3,0,18,4,0,0,0.224,0.280,0.237,0.517,-0.082,34.8
신준우,23, SS,-0.40,-0.19,-0.21,24,19,19,18,4,2,0,0,0,2,0,0,0,0,1,0,5,0,0,0,0.111,0.158,0.111,0.269,-0.183,-51.5
김규민,20, LF,-0.40,-0.50,0.10,54,111,108,101,13,21,2,1,1,28,6,1,0,5,1,0,24,3,3,1,0.208,0.250,0.277,0.527,-0.112,19.7
예진원,23, LF,-0.42,-0.06,-0.36,16,36,34,34,2,8,1,0,1,12,4,0,0,0,0,0,7,0,2,0,0.235,0.235,0.353,0.588,-0.058,57.3
